question_id,concept_code,element,subskill,level,level_order,introduced_at_level,question_type,marks,shuffle_options,term,symbol_display,term_type,meaning,cie_status,cie_requirement,cambridge_source_page,source_url,prompt,options,correct_answer,accepted_answers,mark_scheme,feedback,common_confusions,visual_asset,visual_kind,requires_score_context,score_context_template,audio_required,eligible_modes,progress_skill_code,teacher_tags,status,notes,audio_file,force_text_options
SS-MINUET-S,STR-MINUET,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,minuet and trio,Minuet – Trio – Minuet,whole_form,"a Classical-era dance movement in triple time: a minuet, then a contrasting trio (often with fewer instruments), then the minuet repeats",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,minuet and trio,minuet and trio|minuet & trio|minuet-trio-minuet,1 mark for the correct term: minuet and trio.,"Minuet and trio: a triple-metre Classical dance form, often the third movement of a symphony or quartet.",ternary|scherzo,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-MINUET-TRIO.mp3,
SS-MINUET-M,STR-MINUET,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,minuet and trio,,whole_form,"a Classical-era dance movement in triple time: a minuet, then a contrasting trio (often with fewer instruments), then the minuet repeats",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Minuet and trio movements are almost always in triple metre. Name the metre you would expect, and describe ONE typical difference in texture or scoring between the minuet and the trio sections.",,Triple (usually 3/4); the trio is often more lightly scored (fewer instruments/simpler texture) than the minuet.,3/4|simple triple|lighter texture|fewer instruments,1 mark for identifying triple metre (3/4); 1 mark for a valid textural/scoring contrast between minuet and trio.,"Minuet and trio movements are conventionally in 3/4, with the trio often lighter in texture — historically sometimes played by just three instruments, hence the name.",ternary|scherzo,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-RONDO-F,STR-RONDO,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,rondo form,,whole_form,"a structure where a main theme (A) keeps returning between contrasting episodes (B, C, etc.)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents rondo form?,A – B – A – C – A | A – B – A | A – B – C – D | A – A – A – A,A – B – A – C – A,A – B – A – C – A,A – B – A – C – A. (1),"Correct — rondo form keeps returning to its main theme (A) between different contrasting episodes (B, C…).",ritornello form|theme and variations,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-RONDO.mp3,
SS-RONDO-D,STR-RONDO,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,rondo form,A – B – A – C – A,whole_form,"a structure where a main theme (A) keeps returning between contrasting episodes (B, C, etc.)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Rondo form | Ternary form | Theme and variations | Strophic,rondo form,rondo form,rondo form. (1),Correct — a recurring main theme separated by different contrasting episodes is rondo form.,ritornello form|theme and variations,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-RONDO.mp3,
SS-RONDO-S,STR-RONDO,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,rondo form,A – B – A – C – A,whole_form,"a structure where a main theme (A) keeps returning between contrasting episodes (B, C, etc.)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,rondo,rondo|rondo form|rondeau,1 mark for the correct term: rondo.,"Rondo form: a recurring 'A' theme alternates with contrasting episodes (B, C, etc.), e.g. A B A C A.",ritornello form|theme and variations,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-RONDO.mp3,
SS-RONDO-M,STR-RONDO,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,rondo form,,whole_form,"a structure where a main theme (A) keeps returning between contrasting episodes (B, C, etc.)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Rondo form and ritornello form both involve a recurring idea separated by contrasting sections. Explain ONE key difference between them.,,"In rondo form the main theme (A) usually returns complete and unchanged in the home key each time; in ritornello form the ritornello often returns only partially or in different keys between episodes, and is typically for a full ensemble contrasted with soloist(s) in the episodes.",ritornello returns partially|different keys|solo vs tutti contrast|concerto texture,1 mark for a valid structural difference (e.g. ritornello returns can be partial/in different keys vs rondo's fuller returns); 1 mark for a valid textural/genre difference (ritornello form is associated with Baroque concertos and a solo/tutti contrast).,"Rondo form is common in Classical-era finales; ritornello form is the Baroque concerto's own version of the same 'returning idea' principle, but built around alternating soloist and full ensemble.",ritornello form|theme and variations,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-RITORNELLO-F,STR-RITORNELLO,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,ritornello form,,whole_form,a Baroque concerto structure where a recurring tutti passage (the ritornello) alternates with solo episodes,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents ritornello form?,Ritornello – Episode – Ritornello – Episode – Ritornello | A – B – A | Episode – Ritornello – Episode | Ritornello – Ritornello – Episode,Ritornello – Episode – Ritornello – Episode – Ritornello,Ritornello – Episode – Ritornello – Episode – Ritornello,Ritornello – Episode – Ritornello – Episode – Ritornello. (1),"Correct — ritornello form alternates a returning full-ensemble passage (the ritornello) with contrasting solo episodes, typical of Baroque concertos such as Vivaldi's.",rondo form|episode,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-RITORNELLO.mp3,
SS-RITORNELLO-D,STR-RITORNELLO,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,ritornello form,Ritornello – Episode – Ritornello – Episode – Ritornello,whole_form,a Baroque concerto structure where a recurring tutti passage (the ritornello) alternates with solo episodes,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Ritornello form | Rondo form | Binary form | Sonata form,ritornello form,ritornello form,ritornello form. (1),Correct — a recurring tutti passage alternating with solo episodes is ritornello form.,rondo form|episode,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-RITORNELLO.mp3,
SS-RITORNELLO-S,STR-RITORNELLO,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,ritornello form,Ritornello – Episode – Ritornello – Episode – Ritornello,whole_form,a Baroque concerto structure where a recurring tutti passage (the ritornello) alternates with solo episodes,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,ritornello form,ritornello form|ritornello|retornello,1 mark for the correct term: ritornello form.,"Ritornello form: the structure of a Baroque concerto movement, alternating tutti ritornellos with solo episodes.",rondo form|episode,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-RITORNELLO.mp3,
SS-RITORNELLO-M,STR-RITORNELLO,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,ritornello form,,whole_form,a Baroque concerto structure where a recurring tutti passage (the ritornello) alternates with solo episodes,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Vivaldi's Spring (Violin Concerto in E major, from The Four Seasons) uses ritornello form. Describe what happens musically each time the ritornello returns, and state which group of performers usually plays it.",,"The ritornello returns, sometimes shortened or in a different key, framing the movement; it is played by the full ensemble/orchestra (tutti), contrasted with the solo violin in the episodes.",tutti|full orchestra|shortened return|different key,"1 mark for describing the ritornello's return (may be shortened/varied/in a new key); 1 mark for correctly identifying it as the tutti/full-ensemble music, contrasted with the soloist's episodes.","In Vivaldi's Spring, the opening ritornello returns several times — sometimes complete, sometimes just a fragment — played by the full string orchestra, while the solo violin has its own episodes in between.",rondo form|episode,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-THEMEVAR-F,STR-THEMEVAR,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,theme and variations,,whole_form,"a structure that states a theme, then repeats it several times with the melody, harmony, rhythm or texture changed each time",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents theme and variations?,Theme – Variation 1 – Variation 2 – Variation 3… | A – B – A – C – A | A – B | Theme – Theme – Theme,Theme – Variation 1 – Variation 2 – Variation 3…,Theme – Variation 1 – Variation 2 – Variation 3…,Theme – Variation 1 – Variation 2 – Variation 3…. (1),"Correct — theme and variations states a melody, then reworks it repeatedly — changing rhythm, harmony, key, texture or ornamentation each time while keeping it recognisable.",rondo form|ground bass,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-THEME-VARIATIONS.mp3,
SS-THEMEVAR-D,STR-THEMEVAR,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,theme and variations,Theme – Variation 1 – Variation 2 – Variation 3…,whole_form,"a structure that states a theme, then repeats it several times with the melody, harmony, rhythm or texture changed each time",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Theme and variations | Rondo form | Strophic | Through-composed,theme and variations,theme and variations,theme and variations. (1),Correct — a theme followed by a series of reworkings of it is theme and variations.,rondo form|ground bass,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-THEME-VARIATIONS.mp3,
SS-THEMEVAR-S,STR-THEMEVAR,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,theme and variations,Theme – Variation 1 – Variation 2 – Variation 3…,whole_form,"a structure that states a theme, then repeats it several times with the melody, harmony, rhythm or texture changed each time",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,theme and variations,theme and variations|theme & variations|variation form,1 mark for the correct term: theme and variations.,"Theme and variations: a theme is stated, then varied repeatedly (rhythm, harmony, texture, ornamentation, etc.).",rondo form|ground bass,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-THEME-VARIATIONS.mp3,
SS-THEMEVAR-M,STR-THEMEVAR,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,theme and variations,,whole_form,"a structure that states a theme, then repeats it several times with the melody, harmony, rhythm or texture changed each time",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Bach's Goldberg Variations, BWV 988, is a large-scale theme and variations built on the Aria's 32-bar harmonic bass line. Name TWO different musical elements a variation could change while keeping that underlying structure recognisable.",,"Any two of: melody, rhythm, key/mode (major/minor), tempo, texture, ornamentation, instrumentation.",melody|rhythm|key|mode|tempo|texture|ornamentation,"1 mark for each valid element that can be varied (max 2): melody, rhythm, key/mode, tempo, texture, or ornamentation.","In the Goldberg Variations, each variation keeps the same underlying harmonic/bass pattern but freely varies melody, rhythm, key (some variations shift to minor), tempo, texture and ornamentation.",rondo form|ground bass,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-SONATA-F,STR-SONATA,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,sonata form,,whole_form,"a large-scale Classical-era structure in three main stages: exposition (themes presented), development (themes reworked/explored), recapitulation (themes return in the home key)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents sonata form?,Exposition – Development – Recapitulation | A – B – A – C – A | Theme – Variation 1 – Variation 2 | Ritornello – Episode – Ritornello,Exposition – Development – Recapitulation,Exposition – Development – Recapitulation,Exposition – Development – Recapitulation. (1),"Correct — sonata form has three main stages: an exposition presenting the main themes, a development exploring/reworking them, and a recapitulation bringing them back in the home key.",ternary|rondo form,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-SONATA-FORM.mp3,
SS-SONATA-D,STR-SONATA,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,sonata form,Exposition – Development – Recapitulation,whole_form,"a large-scale Classical-era structure in three main stages: exposition (themes presented), development (themes reworked/explored), recapitulation (themes return in the home key)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Sonata form | Rondo form | Ternary form | Ritornello form,sonata form,sonata form,sonata form. (1),"Correct — themes presented, then developed, then recapitulated in the home key, is sonata form.",ternary|rondo form,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-SONATA-FORM.mp3,
SS-SONATA-S,STR-SONATA,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,sonata form,Exposition – Development – Recapitulation,whole_form,"a large-scale Classical-era structure in three main stages: exposition (themes presented), development (themes reworked/explored), recapitulation (themes return in the home key)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,sonata form,sonata form|sonata-allegro form,1 mark for the correct term: sonata form.,"Sonata form: Exposition (themes presented) → Development (themes reworked) → Recapitulation (themes return in the tonic), often with a coda.",ternary|rondo form,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-SONATA-FORM.mp3,
SS-SONATA-M,STR-SONATA,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,sonata form,,whole_form,"a large-scale Classical-era structure in three main stages: exposition (themes presented), development (themes reworked/explored), recapitulation (themes return in the home key)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"In a Classical-era sonata-form exposition, the first subject and second subject are normally in different keys. Name the usual key relationship between them, and state what typically happens to that key relationship when the same material returns in the recapitulation.",,"The second subject is usually in the dominant (or relative major, if the first subject is in minor); in the recapitulation, the second subject normally returns in the tonic (same key as the first subject).",dominant key|relative major|both in tonic on return|home key,"1 mark for correctly stating the exposition's key relationship (second subject in the dominant, or relative major from a minor tonic); 1 mark for correctly stating that both subjects return in the tonic in the recapitulation.","The exposition's move away from the tonic (to the dominant, or relative major) creates harmonic tension that the recapitulation resolves by bringing the second subject back in the tonic — the large-scale 'story' sonata form tells.",ternary|rondo form,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-STROPHIC-F,STR-STROPHIC,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,strophic form,,whole_form,a song structure where every verse of the text is set to the same repeated melody and accompaniment,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents strophic form?,A – A – A – A | A – B – C – D | A – B – A | A – B,A – A – A – A,A – A – A – A,A – A – A – A. (1),"Correct — strophic form repeats exactly the same music for every verse of the text, so the melody never changes even though the words do.",through-composed|verse,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-STROPHIC.mp3,
SS-STROPHIC-D,STR-STROPHIC,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,strophic form,A – A – A – A,whole_form,a song structure where every verse of the text is set to the same repeated melody and accompaniment,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Strophic form | Through-composed | Theme and variations | Rondo form,strophic form,strophic form,strophic form. (1),Correct — the same melody repeating for every new verse of text is strophic form.,through-composed|verse,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-STROPHIC.mp3,
SS-STROPHIC-S,STR-STROPHIC,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,strophic form,A – A – A – A,whole_form,a song structure where every verse of the text is set to the same repeated melody and accompaniment,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,strophic,strophic|strophic form,1 mark for the correct term: strophic.,Strophic form: each verse is set to identical (or near-identical) music — common in folk songs and hymns.,through-composed|verse,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-STROPHIC.mp3,
SS-STROPHIC-M,STR-STROPHIC,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,strophic form,,whole_form,a song structure where every verse of the text is set to the same repeated melody and accompaniment,explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Art songs (Lieder) are often either strophic or through-composed. Explain why a composer might choose strophic form for a poem with a simple, repeating emotional mood, and why they might avoid it for a poem whose narrative changes dramatically.",,"Strophic form suits a simple, unchanging mood because one melody/accompaniment can represent every verse naturally; a dramatically changing narrative needs music that can change to match each new idea or emotion, which strophic form (same music each time) cannot easily do.",mood stays the same|music cannot reflect changing narrative|repetition suits simple text,"1 mark for a valid reason strophic form suits a simple/repeating mood (efficient, reinforces unity, suits folk-like or hymn-like texts); 1 mark for a valid reason it's unsuited to a changing narrative (same music can't reflect changing events/emotions verse to verse).","Schubert's Winterreise and similar song cycles mix strophic songs (for simpler, unified texts) with through-composed ones (where the story's twists need constantly changing music).",through-composed|verse,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
