app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Texture Trainer,texture-trainer,Texture recognition,TT016,,Securing,short-text,2,Identify the opening texture and describe one way it changes. (2),"Unison or octaves, then thicker texture",,unison | octaves | in octaves | unison or octaves | single coordinated line | one coordinated line | opening motif | opening motif is played in unison | same melodic line | everyone plays the same motif | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | homophonic | chordal | homorhythmic | homorhythm | block chords | same rhythm | moving together | parts move together | harmony moves together | voices move together | all parts move together | homophonic | melody dominated homophony | melody-dominated homophony | melody and accompaniment | melody with accompaniment | tune with accompaniment | tune with backing | melody with backing | main melody with chords | accompanied melody | main tune with chords | solo melody with accompaniment | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation,modules/texture-trainer/audio/TT016.mp3,yes,,,,,,Unison/octaves → thicker texture,Securing,,"L. van Beethoven — Symphony No. 5 in C minor, movement I",,Musopen Symphony Orchestra,"https://commons.wikimedia.org/wiki/File:Ludwig_van_Beethoven_-_symphony_no._5_in_c_minor,_op._67_-_i._allegro_con_brio.ogg",Check the current licence statement on the source page,"The opening motif is coordinated, then orchestral parts thicken the texture."
Texture Trainer,texture-trainer,Texture recognition,TT017,,Foundation,multiple-choice,1,Identify the texture in this extract. (1),Homophonic,Homophonic | Polyphonic | Monophonic,homophonic | homophony | melody dominated homophony | melody-dominated homophony | melody and accompaniment | melody with accompaniment | chordal | homorhythmic | block chords | homophonic | chordal | homorhythmic | homorhythm | block chords | same rhythm | moving together | parts move together | harmony moves together | voices move together | all parts move together,modules/texture-trainer/audio/TT017.mp3,yes,,,,,,Homophonic texture,Foundation,,"J. S. Bach — Brandenburg Concerto No. 3, movement I",,See source page,https://commons.wikimedia.org/wiki/File:Bach_-_Brandenburg_Concerto_No._3_-_1._Allegro.ogg,Check the current licence statement on the source page,The opening has coordinated string writing before independent lines become more prominent.
Texture Trainer,texture-trainer,Texture recognition,TT018,,Mastering,extended-text,2,Describe two ways the texture changes during the extract. (2),Layered texture,,more instrumental parts enter | more instruments enter | more parts enter | texture becomes thicker | the texture becomes thicker | thicker texture | layers are added | more layers | melody passes between instruments | melody is passed between instruments | melody passed between instruments | countermelodies are added | countermelody | countermelodies | independent lines are added | independent lines | accompaniment becomes more active | more active accompaniment | active accompaniment | more instrumental parts enter | more instruments enter | more parts enter | texture becomes thicker | the texture becomes thicker | thicker texture | layers are added | more layers | melody passes between instruments | melody is passed between instruments | melody passed between instruments | countermelodies are added | countermelody | countermelodies | independent lines are added | independent lines | accompaniment becomes more active | more active accompaniment | active accompaniment,modules/texture-trainer/audio/TT018.mp3,yes,,,,,,Thin → thicker/layered,Mastering,,F. Mendelssohn — The Hebrides Overture (‘Fingal’s Cave’),,Musopen Symphony Orchestra,https://commons.wikimedia.org/wiki/File:Mendelssohn_-_Hebrides_Overture_Fingal's_Cave.ogg,CC0 / Public Domain Mark on Commons source page,Review note: shortened to the section where the texture moves from thinner writing to a thicker layered texture.
Texture Trainer,texture-trainer,Texture recognition,TT019,,Mastering,extended-text,2,(a) Identify the texture at the opening. (1) (b) Describe how the texture changes as the extract continues. (1),Monophonic,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT019.mp3,yes,,,,,,Monophonic → fugal polyphony,Mastering,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 1 in C major, BWV 846",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_02_Fugue_No._1_in_C_major,_BWV_846.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT020,,Securing,multiple-choice,1,Name the textural device created as the subject enters successively in different voices. (1),Fugal imitation,Fugal imitation | Homophonic | Monophonic | Contrapuntal,fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively,modules/texture-trainer/audio/TT020.mp3,yes,,,,,,Fugal imitation,Securing,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 2 in C minor, BWV 847",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_04_Fugue_No._2_in_C_minor,_BWV_847.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT021,,Securing,short-text,2,(a) Identify the texture when the subject is first heard. (1) (b) Identify and explain the later texture. (1),Monophonic,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT021.mp3,yes,,,,,,Monophonic → fugal polyphony,Securing,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 3 in C-sharp major, BWV 848",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_06_Fugue_No._3_in_C-sharp_major,_BWV_848.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT022,,Securing,short-text,1,Name the textural device used in this extract. (1),Fugal imitation,,fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT022.mp3,yes,,,,,,Fugal imitation,Securing,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 4 in C-sharp minor, BWV 849",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_08_Fugue_No._4_in_C-sharp_minor,_BWV_849.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT023,,Developing,multiple-choice,1,Identify the texture once the subject and answers are sounding together. (1),Polyphonic,Polyphonic | Homophonic | Monophonic | Unison,polyphonic | contrapuntal | counterpoint | fugal | fugue | imitative | canon | canonic,modules/texture-trainer/audio/TT023.mp3,yes,,,,,,Polyphonic texture,Developing,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 6 in D minor, BWV 851",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_12_Fugue_No._6_in_D_minor,_BWV_851.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT024,,Securing,short-text,2,Identify the opening texture and explain the later texture. (2),Monophonic,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT024.mp3,yes,,,,,,Monophonic → fugal polyphony,Securing,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 7 in E-flat major, BWV 852",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_14_Fugue_No._7_in_E-flat_major,_BWV_852.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT025,,Securing,short-text,2,Identify the texture at the opening and describe how it changes as the extract continues. (2),Monophonic,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT025.mp3,yes,,,,,,Monophonic → fugal polyphony,Securing,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 8 in D-sharp minor, BWV 853",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_16_Fugue_No._8_in_D-sharp_minor,_BWV_853.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT026,,Mastering,short-text,1,Name the textural device created as the subject enters successively in different voices. (1),Fugal imitation,,fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively,modules/texture-trainer/audio/TT026.mp3,yes,,,,,,Fugal imitation,Mastering,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 9 in E major, BWV 854",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_18_Fugue_No._9_in_E_major,_BWV_854.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT027,,Mastering,extended-text,2,Identify the opening texture and explain the later texture. (2),Monophonic,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT027.mp3,yes,,,,,,Monophonic → fugal polyphony,Mastering,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 10 in E minor, BWV 855",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_20_Fugue_No._10_in_E_minor,_BWV_855.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
Texture Trainer,texture-trainer,Texture recognition,TT028,,Mastering,extended-text,2,Identify the texture at the opening and describe how it changes as the extract continues. (2),Monophonic,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT028.mp3,yes,,,,,,Monophonic → fugal polyphony,Mastering,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 11 in F major, BWV 856",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_22_Fugue_No._11_in_F_major,_BWV_856.ogg",CC0 1.0,Original source extract: 0–20s. Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
