Question ID,Audio ID,Audio Path,Source ID,Question,Options,Correct Answer,Accepted Answers,Marks,Response Type,Feedback / Teaching Point,Difficulty,Composer,Work,Instrument,Source / Provider,Licence Type,Review Status
MDV067,MDA067,audio/melodic-devices/MDA067.mp3,MEL-036,What term describes the freedom of tempo/rhythm the singer uses to shape phrases expressively?,Rubato | Ritardando | Accelerando | Syncopation,Rubato,Rubato,1,Multiple choice,Rubato is the expressive freedom of tempo used to shape phrases.,Developing,,Thread of Glass,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV068,MDA068,audio/melodic-devices/MDA068.mp3,MEL-037,Which of these best fits the melodic movement in this extract?,A mix of stepwise movement and expressive leaps | Entirely by step | Entirely by leap | Entirely repeated notes,A mix of stepwise movement and expressive leaps,A mix of stepwise movement and expressive leaps,1,Multiple choice,The melody mixes stepwise movement with expressive leaps.,Developing,,La Ultima Cuadra,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV069,MDA069,audio/melodic-devices/MDA069.mp3,MEL-043,"Does the main melody move mainly by step, by leap, or a mix of both?",A mix of stepwise movement and expressive leaps | Entirely by step | Entirely by leap | Entirely repeated notes,A mix of stepwise movement and expressive leaps,A mix of stepwise movement and expressive leaps,1,Multiple choice,The melody mixes stepwise movement with expressive leaps.,Developing,,Puerta de Humo,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV070,MDA070,audio/melodic-devices/MDA070.mp3,MEL-044,What term describes the expressive freedom of tempo used in the melodic phrasing?,Rubato | Ritardando | Accelerando | Fermata,Rubato,Rubato,1,Multiple choice,Rubato describes the expressive freedom of tempo in the phrasing.,Developing,,Puerta de Humo,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV071,MDA071,audio/melodic-devices/MDA071.mp3,MEL-048,Describe the overall mood/character created by the melodic writing in this extract.,,"Passionate, dramatic and often melancholic, using expressive rubato and dynamic swells in the melodic line.","Passionate, dramatic and often melancholic, using expressive rubato and dynamic swells in the melodic line.",2,Written response,"The melody is passionate and dramatic, shaped by rubato and dynamic swells.",Mastering,,Sombras de Acero,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV072,MDA072,audio/melodic-devices/MDA072.mp3,MEL-052,"What term describes the short, repeated syncopated melodic/rhythmic pattern played by the piano?",Montuno | Sequence | Imitation | Cadence,Montuno,Montuno,1,Multiple choice,"The piano plays a montuno — a short, repeated syncopated pattern.",Developing,,Bajo El Almendro,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV073,MDA073,audio/melodic-devices/MDA073.mp3,MEL-053,Describe the word-setting in this extract.,"Entirely syllabic | Mainly syllabic, with some melisma | Entirely melismatic | Spoken, not sung",Entirely syllabic,Entirely syllabic,1,Multiple choice,Every syllable of the vocal line is set to a single note.,Developing,,Bajo El Almendro,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV074,MDA074,audio/melodic-devices/MDA074.mp3,MEL-054,Describe how call-and-response is used melodically between the lead vocal and the coro (backing vocals).,,The lead singer sings a phrase and the coro answers back with a short melodic response — a musical conversation.,The lead singer sings a phrase and the coro answers back with a short melodic response — a musical conversation.,1,Written response,The lead singer's phrase is answered by the coro — a musical call-and-response conversation.,Mastering,,Bajo El Almendro,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV075,MDA075,audio/melodic-devices/MDA075.mp3,MEL-058,"What term describes the short, repeated syncopated melodic/rhythmic pattern played by the piano?",,Montuno,Montuno,1,Written response,"The piano plays a montuno — a short, repeated syncopated pattern.",Mastering,,Montuno Encendido,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV076,MDA076,audio/melodic-devices/MDA076.mp3,MEL-061,"What term describes the short, repeated syncopated melodic/rhythmic pattern played by the piano?",,Montuno,Montuno,1,Written response,"The piano plays a montuno — a short, repeated syncopated pattern.",Mastering,,Candela en Casa,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV077,MDA077,audio/melodic-devices/MDA077.mp3,MEL-064,Which of the following describes the scale/mode system used to organise the melody in this extract?,A rāga | A twelve-bar blues scale | A whole-tone scale | A pentatonic scale,A rāga,A rāga,1,Multiple choice,The melody is organised using a rāga — a specific set of ascending/descending pitches with characteristic phrases.,Developing,,Bhor Bhai Bhairavi,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV078,MDA078,audio/melodic-devices/MDA078.mp3,MEL-065,"What term describes the vocal ornamentation heard throughout this extract, where the singer decorates and connects notes with rapid melodic movement?",Meend | Tān | Alap | Bol,Meend,Meend,1,Multiple choice,"Meend (gliding ornamentation) connects notes with rapid, decorative melodic movement.",Developing,,Bhor Bhai Bhairavi,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV079,MDA079,audio/melodic-devices/MDA079.mp3,MEL-067,This extract is based on rāga Khamaj. What is a rāga?,"A melodic framework of specific pitches, ornaments and phrases used for improvisation | A fixed twelve-bar chord sequence | A type of drum rhythm cycle | A Western major scale","A melodic framework of specific pitches, ornaments and phrases used for improvisation","A melodic framework of specific pitches, ornaments and phrases used for improvisation",1,Multiple choice,"A rāga is a melodic framework of pitches, ornaments and phrases that a performer improvises within.",Developing,,Khamaj Ki Dhun,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
