clip_id,type,level,composer,period,work,movement,audio_path,prompt,correct_answer,options,has_option_override,status
CLIP-0024FF2C50EC,composer,Foundation,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II192.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-0BB3C0D30090,composer,Mastering,Robert Schumann,Romantic,"Kinderszenen / Scenes from Childhood, Op. 15",VII. Träumerei / Dreaming / Reverie,/modules/melody-master/questions/mm005/MM005-audio.mp3,Who composed this extract?,Robert Schumann,Wolfgang Amadeus Mozart | Johann Sebastian Bach | Georg Philipp Telemann | Robert Schumann,yes,Currently live in Context Coach
CLIP-0BB3C0D30090,period,Securing,Robert Schumann,Romantic,"Kinderszenen / Scenes from Childhood, Op. 15",VII. Träumerei / Dreaming / Reverie,/modules/melody-master/questions/mm005/MM005-audio.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-0C0FFC6D626D,composer,Securing,Johann Sebastian Bach,Baroque,Partita BWV 1013 (3),,/modules/instrument-identifier/audio/II206.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-0C0FFC6D626D,period,Developing,Johann Sebastian Bach,Baroque,Partita BWV 1013 (3),,/modules/instrument-identifier/audio/II206.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-0C3304CFE62F,composer,Securing,Frédéric Chopin,Romantic,"Nocturne in B flat minor, Op. 9 no. 1",Extract 6,/modules/melody-master/questions/mm006/MM006-audio.mp3,Who composed this extract?,Frédéric Chopin,Frédéric Chopin | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-0C3304CFE62F,period,Developing,Frédéric Chopin,Romantic,"Nocturne in B flat minor, Op. 9 no. 1",Extract 6,/modules/melody-master/questions/mm006/MM006-audio.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-0E13F9C57BD1,composer,Mastering,Felix Mendelssohn,Romantic,"Symphony No. 4 in A major, Op. 90 ‘Italian’",II. Andante con moto,/modules/melody-master/audio/melodic-devices/MDA030.mp3,Who composed this extract?,Felix Mendelssohn,Felix Mendelssohn | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-0E13F9C57BD1,period,Securing,Felix Mendelssohn,Romantic,"Symphony No. 4 in A major, Op. 90 ‘Italian’",II. Andante con moto,/modules/melody-master/audio/melodic-devices/MDA030.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-0F1FCCD712F0,composer,Developing,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II199.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-0F1FCCD712F0,period,Foundation,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II199.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-135A59FE028C,composer,Developing,Johann Sebastian Bach,Baroque,Suite No. 4 (4),,/modules/instrument-identifier/audio/II112.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-135A59FE028C,period,Securing,Johann Sebastian Bach,Baroque,Suite No. 4 (4),,/modules/instrument-identifier/audio/II112.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-142D6CB57300,composer,Developing,Joseph Haydn,Classical,"Symphony no. 94 in G major 'Surprise', Hob. I:94",II. Andante,/modules/melody-master/audio/melodic-devices/MDA006.mp3,Who composed this extract?,Joseph Haydn,Joseph Haydn | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-142D6CB57300,period,Developing,Joseph Haydn,Classical,"Symphony no. 94 in G major 'Surprise', Hob. I:94",II. Andante,/modules/melody-master/audio/melodic-devices/MDA006.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-1441083271BE,composer,Securing,Wolfgang Amadeus Mozart,Classical,Horn Concerto K142 (1),,/modules/instrument-identifier/audio/II146.mp3,Who composed this extract?,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-1441083271BE,period,Developing,Wolfgang Amadeus Mozart,Classical,Horn Concerto K142 (1),,/modules/instrument-identifier/audio/II146.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-19ED672103DD,composer,Developing,Georg Philipp Telemann,Baroque,Oboe Concerto TWV 51,,/modules/instrument-identifier/audio/II242.mp3,Who composed this extract?,Georg Philipp Telemann,Georg Philipp Telemann | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-19ED672103DD,period,Foundation,Georg Philipp Telemann,Baroque,Oboe Concerto TWV 51,,/modules/instrument-identifier/audio/II242.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-1A8F9076DD5C,composer,Developing,Edvard Grieg,Romantic,"Peer Gynt Suite no. 1, Op. 46",I. Morning Mood,/modules/melody-master/audio/melodic-devices/MDA003.mp3,Who composed this extract?,Edvard Grieg,Edvard Grieg | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-1A8F9076DD5C,period,Securing,Edvard Grieg,Romantic,"Peer Gynt Suite no. 1, Op. 46",I. Morning Mood,/modules/melody-master/audio/melodic-devices/MDA003.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-1AACF52B8EA4,composer,Mastering,Ludwig van Beethoven,Classical,Violin Concerto Op 61,,/modules/instrument-identifier/audio/II002.mp3,Who composed this extract?,Ludwig van Beethoven,Franz Schubert | Johannes Brahms | Ludwig van Beethoven | Joseph Haydn,yes,Currently live in Context Coach
CLIP-1AC448A4BBE5,composer,Securing,Ludwig van Beethoven,Classical,Violin Sonata No. 5 Spring (1),,/modules/instrument-identifier/audio/II017.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-1AC448A4BBE5,period,Developing,Ludwig van Beethoven,Classical,Violin Sonata No. 5 Spring (1),,/modules/instrument-identifier/audio/II017.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-1B38EA59E2EE,composer,Securing,Ludwig van Beethoven,Classical,"Violin Sonata No. 9 ""Kreutzer""",,/modules/instrument-identifier/audio/II005.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-1B38EA59E2EE,period,Developing,Ludwig van Beethoven,Classical,"Violin Sonata No. 9 ""Kreutzer""",,/modules/instrument-identifier/audio/II005.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-1BC0145CD248,composer,Developing,George Frideric Handel,Baroque,Violin (Trumpet) Sonata F (2),,/modules/instrument-identifier/audio/II020.mp3,Who composed this extract?,George Frideric Handel,George Frideric Handel | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-1BC0145CD248,period,Developing,George Frideric Handel,Baroque,Violin (Trumpet) Sonata F (2),,/modules/instrument-identifier/audio/II020.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-2188810222C5,composer,Mastering,Claude Debussy,20th Century,Cello Sonata (2) Serenade,,/modules/instrument-identifier/audio/II065.mp3,Who composed this extract?,Claude Debussy,Claude Debussy | Robert Schumann | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-2188810222C5,period,Securing,Claude Debussy,20th Century,Cello Sonata (2) Serenade,,/modules/instrument-identifier/audio/II065.mp3,Which musical period is this extract from?,20th Century,20th Century | Baroque | Renaissance | Romantic,no,Currently live in Context Coach
CLIP-223625F52037,composer,Securing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (3),,/modules/instrument-identifier/audio/II141.mp3,Who composed this extract?,Joseph Haydn,Joseph Haydn | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-223625F52037,period,Developing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (3),,/modules/instrument-identifier/audio/II141.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-235FF3C606AA,composer,Mastering,Pyotr Ilyich Tchaikovsky,Romantic,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",II. Allegro con grazia,/modules/melody-master/audio/melodic-devices/MDA037.mp3,Who composed this extract?,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-235FF3C606AA,period,Securing,Pyotr Ilyich Tchaikovsky,Romantic,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",II. Allegro con grazia,/modules/melody-master/audio/melodic-devices/MDA037.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-25F4D9626BFA,composer,Developing,Jean-Joseph Mouret,Baroque,Allegro - Rondeau,,/modules/instrument-identifier/audio/II211.mp3,Who composed this extract?,Jean-Joseph Mouret,Jean-Joseph Mouret | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-25F4D9626BFA,period,Foundation,Jean-Joseph Mouret,Baroque,Allegro - Rondeau,,/modules/instrument-identifier/audio/II211.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-27234A7CB5C6,composer,Mastering,Frédéric Chopin,Romantic,Cello Sonata Op.65 (3),,/modules/instrument-identifier/audio/II100.mp3,Who composed this extract?,Frédéric Chopin,Frédéric Chopin | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-27234A7CB5C6,period,Developing,Frédéric Chopin,Romantic,Cello Sonata Op.65 (3),,/modules/instrument-identifier/audio/II100.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-2DC361124552,composer,Mastering,Frédéric Chopin,Romantic,Cello Sonata Op.65 (3),,/modules/instrument-identifier/audio/II099.mp3,Who composed this extract?,Frédéric Chopin,Frédéric Chopin | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-2DC361124552,period,Securing,Frédéric Chopin,Romantic,Cello Sonata Op.65 (3),,/modules/instrument-identifier/audio/II099.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-2E02BA2BFA7C,composer,Mastering,Robert Schumann,Romantic,Marchenbilder Op. 113,,/modules/instrument-identifier/audio/II035.mp3,Who composed this extract?,Robert Schumann,Robert Schumann | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-2E02BA2BFA7C,period,Securing,Robert Schumann,Romantic,Marchenbilder Op. 113,,/modules/instrument-identifier/audio/II035.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-31903357C654,composer,Securing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (3),,/modules/instrument-identifier/audio/II143.mp3,Who composed this extract?,Joseph Haydn,Joseph Haydn | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-31903357C654,period,Developing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (3),,/modules/instrument-identifier/audio/II143.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-34C418A52540,composer,Securing,Joseph Haydn,Classical,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",III. Menuetto,/modules/melody-master/audio/melodic-devices/MDA027.mp3,Who composed this extract?,Joseph Haydn,Joseph Haydn | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-34C418A52540,period,Developing,Joseph Haydn,Classical,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",III. Menuetto,/modules/melody-master/audio/melodic-devices/MDA027.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-36541CB40FFF,composer,Securing,Ludwig van Beethoven,Classical,Cello Sonata Op. 69 (1),,/modules/instrument-identifier/audio/II095.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-36541CB40FFF,period,Developing,Ludwig van Beethoven,Classical,Cello Sonata Op. 69 (1),,/modules/instrument-identifier/audio/II095.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-3CC8E09A2CA9,composer,Mastering,Johannes Brahms,Romantic,"Symphony No. 4 in E minor, Op. 98",III. Allegro giocoso,/modules/melody-master/audio/melodic-devices/MDA015.mp3,Who composed this extract?,Johannes Brahms,Johannes Brahms | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-3CC8E09A2CA9,period,Securing,Johannes Brahms,Romantic,"Symphony No. 4 in E minor, Op. 98",III. Allegro giocoso,/modules/melody-master/audio/melodic-devices/MDA015.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-3EE7AA59E4B0,composer,Foundation,Johann Sebastian Bach,Baroque,Cello Suite No.3 (1),,/modules/instrument-identifier/audio/II074.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-3EFA80723BD7,composer,Mastering,Frédéric Chopin,Romantic,Cello Sonata Op.65 (1),,/modules/instrument-identifier/audio/II078.mp3,Who composed this extract?,Frédéric Chopin,Frédéric Chopin | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-3EFA80723BD7,period,Securing,Frédéric Chopin,Romantic,Cello Sonata Op.65 (1),,/modules/instrument-identifier/audio/II078.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-421F46094C80,composer,Securing,Johann Sebastian Bach,Baroque,Double Violin Concerto,,/modules/instrument-identifier/audio/II023.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-421F46094C80,period,Developing,Johann Sebastian Bach,Baroque,Double Violin Concerto,,/modules/instrument-identifier/audio/II023.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-42580DC569B8,composer,Mastering,Edvard Grieg,Romantic,"Peer Gynt Suite No. 1, Op. 46",II. The Death of Åse,/modules/melody-master/audio/melodic-devices/MDA022.mp3,Who composed this extract?,Edvard Grieg,Edvard Grieg | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-42580DC569B8,period,Securing,Edvard Grieg,Romantic,"Peer Gynt Suite No. 1, Op. 46",II. The Death of Åse,/modules/melody-master/audio/melodic-devices/MDA022.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-42A26B1CE7F3,composer,Securing,Wolfgang Amadeus Mozart,Classical,Horn Concerto K142 (1),,/modules/instrument-identifier/audio/II147.mp3,Who composed this extract?,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-42A26B1CE7F3,period,Foundation,Wolfgang Amadeus Mozart,Classical,Horn Concerto K142 (1),,/modules/instrument-identifier/audio/II147.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-453FE3DB5970,composer,Developing,Georg Philipp Telemann,Baroque,Oboe Concerto TWV 51,,/modules/instrument-identifier/audio/II243.mp3,Who composed this extract?,Georg Philipp Telemann,Georg Philipp Telemann | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-453FE3DB5970,period,Foundation,Georg Philipp Telemann,Baroque,Oboe Concerto TWV 51,,/modules/instrument-identifier/audio/II243.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-476AD11F16E8,composer,Securing,Claude Debussy,20th Century,Cello Sonata (2) Serenade,,/modules/instrument-identifier/audio/II063.mp3,Who composed this extract?,Claude Debussy,Claude Debussy | Robert Schumann | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-476AD11F16E8,period,Developing,Claude Debussy,20th Century,Cello Sonata (2) Serenade,,/modules/instrument-identifier/audio/II063.mp3,Which musical period is this extract from?,20th Century,20th Century | Baroque | Renaissance | Romantic,no,Currently live in Context Coach
CLIP-47D7D98369F9,composer,Mastering,Ludwig van Beethoven,Classical,Cello Sonata Op. 69 (2),,/modules/instrument-identifier/audio/II115.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-487EFDB64270,composer,Securing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (3),,/modules/instrument-identifier/audio/II140.mp3,Who composed this extract?,Joseph Haydn,Joseph Haydn | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-487EFDB64270,period,Developing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (3),,/modules/instrument-identifier/audio/II140.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-4A359D3AA48D,composer,Securing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (1),,/modules/instrument-identifier/audio/II135.mp3,Who composed this extract?,Joseph Haydn,Joseph Haydn | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-4A359D3AA48D,period,Developing,Joseph Haydn,Classical,Trumpet Concerto HOB VIIe (1),,/modules/instrument-identifier/audio/II135.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-4A5FAF4D271C,composer,Securing,Wolfgang Amadeus Mozart,Classical,Clarinet Concerto K662,,/modules/instrument-identifier/audio/II180.mp3,Who composed this extract?,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-4A5FAF4D271C,period,Developing,Wolfgang Amadeus Mozart,Classical,Clarinet Concerto K662,,/modules/instrument-identifier/audio/II180.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-4B14662FEA29,composer,Mastering,Edvard Grieg,Romantic,"Peer Gynt Suite No. 1, Op. 46",IV. In the Hall of the Mountain King,/modules/melody-master/audio/melodic-devices/MDA024.mp3,Who composed this extract?,Edvard Grieg,Edvard Grieg | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-4B14662FEA29,period,Securing,Edvard Grieg,Romantic,"Peer Gynt Suite No. 1, Op. 46",IV. In the Hall of the Mountain King,/modules/melody-master/audio/melodic-devices/MDA024.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-504F90757D50,composer,Developing,Antonio Vivaldi,Baroque,Sonata No. 5 (3),,/modules/instrument-identifier/audio/II071.mp3,Who composed this extract?,Antonio Vivaldi,Antonio Vivaldi | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-504F90757D50,period,Foundation,Antonio Vivaldi,Baroque,Sonata No. 5 (3),,/modules/instrument-identifier/audio/II071.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-51070B8928DB,composer,Mastering,Pyotr Ilyich Tchaikovsky,Romantic,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",III. Allegro molto vivace,/modules/melody-master/audio/melodic-devices/MDA038.mp3,Who composed this extract?,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-51070B8928DB,period,Securing,Pyotr Ilyich Tchaikovsky,Romantic,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",III. Allegro molto vivace,/modules/melody-master/audio/melodic-devices/MDA038.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-5209AD0016B3,composer,Mastering,Ludwig van Beethoven,Classical,Cello Sonata Op. 69 (3),,/modules/instrument-identifier/audio/II090.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-5209AD0016B3,period,Developing,Ludwig van Beethoven,Classical,Cello Sonata Op. 69 (3),,/modules/instrument-identifier/audio/II090.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-5845A044CD66,composer,Developing,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II194.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-5845A044CD66,period,Foundation,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II194.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-58B3F86A4B02,composer,Mastering,Wolfgang Amadeus Mozart,Classical,"Symphony No. 40 in G minor, K.550",II. Andante,/modules/melody-master/audio/melodic-devices/MDA034.mp3,Who composed this extract?,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-58B3F86A4B02,period,Securing,Wolfgang Amadeus Mozart,Classical,"Symphony No. 40 in G minor, K.550",II. Andante,/modules/melody-master/audio/melodic-devices/MDA034.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-59D1BDB2A7EF,composer,Mastering,Frédéric Chopin,Romantic,Cello Sonata Op.65 (1),,/modules/instrument-identifier/audio/II077.mp3,Who composed this extract?,Frédéric Chopin,Frédéric Chopin | Claude Debussy | George Frideric Handel | Ludwig van Beethoven,no,Currently live in Context Coach
CLIP-59D1BDB2A7EF,period,Securing,Frédéric Chopin,Romantic,Cello Sonata Op.65 (1),,/modules/instrument-identifier/audio/II077.mp3,Which musical period is this extract from?,Romantic,Romantic | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
