question_id,concept_code,element,subskill,level,level_order,introduced_at_level,question_type,marks,shuffle_options,term,symbol_display,term_type,meaning,cie_status,cie_requirement,cambridge_source_page,source_url,prompt,options,correct_answer,accepted_answers,mark_scheme,feedback,common_confusions,visual_asset,visual_kind,requires_score_context,score_context_template,audio_required,eligible_modes,progress_skill_code,teacher_tags,status,notes
ML-TEM-MODERATO-D,TEM-MODERATO,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,moderato,Moderato,tempo_word,at a moderate speed,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: at a moderate speed?,moderato | andante | allegretto | largo,moderato,moderato,1 mark for the correct term or marking.,The correct answer is moderato (Moderato).,andante|allegretto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-MODERATO-S,TEM-MODERATO,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,moderato,Moderato,tempo_word,at a moderate speed,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: at a moderate speed.,,moderato,moderato,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: moderato.,andante|allegretto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-MODERATO-M,TEM-MODERATO,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,moderato,Moderato,tempo_word,at a moderate speed,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,moderato: at a moderate speed,moderato,1 mark for identifying moderato; 1 mark for a valid description of its effect: at a moderate speed.,"For full marks, name the marking and explain its musical effect. Moderato: at a moderate speed.",andante|allegretto,,text,Yes,Show Moderato above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-ALLEGRETTO-F,TEM-ALLEGRETTO,Tempo,tempo-markings,Foundation,1,Developing,multiple_choice,1,Yes,allegretto,Allegretto,tempo_word,moderately fast; a little slower than allegro,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Allegretto mean?,moderately fast; a little slower than allegro | at a moderate speed | fast and lively | broad and very slow,moderately fast; a little slower than allegro,allegretto,1 mark for the correct meaning.,Allegretto means moderately fast; a little slower than allegro.,moderato|allegro,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,locked_until_level,
ML-TEM-ALLEGRETTO-D,TEM-ALLEGRETTO,Tempo,tempo-markings,Developing,2,Developing,multiple_choice_reverse,1,Yes,allegretto,Allegretto,tempo_word,moderately fast; a little slower than allegro,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: moderately fast; a little slower than allegro?,allegretto | moderato | allegro | largo,allegretto,allegretto,1 mark for the correct term or marking.,The correct answer is allegretto (Allegretto).,moderato|allegro,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-ALLEGRETTO-S,TEM-ALLEGRETTO,Tempo,tempo-markings,Securing,3,Developing,short_answer,1,No,allegretto,Allegretto,tempo_word,moderately fast; a little slower than allegro,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: moderately fast; a little slower than allegro.,,allegretto,allegretto,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: allegretto.,moderato|allegro,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-ALLEGRETTO-M,TEM-ALLEGRETTO,Tempo,tempo-markings,Mastering,4,Developing,exam_style_short_answer,2,No,allegretto,Allegretto,tempo_word,moderately fast; a little slower than allegro,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,allegretto: moderately fast; a little slower than allegro,allegretto,1 mark for identifying allegretto; 1 mark for a valid description of its effect: moderately fast; a little slower than allegro.,"For full marks, name the marking and explain its musical effect. Allegretto: moderately fast; a little slower than allegro.",moderato|allegro,,text,Yes,Show Allegretto above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-ALLEGRO-F,TEM-ALLEGRO,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,allegro,Allegro,tempo_word,fast and lively,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Allegro mean?,fast and lively | lively and quick | very fast | broad and very slow,fast and lively,allegro,1 mark for the correct meaning.,Allegro means fast and lively.,vivace|presto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
ML-TEM-ALLEGRO-D,TEM-ALLEGRO,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,allegro,Allegro,tempo_word,fast and lively,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: fast and lively?,allegro | vivace | presto | largo,allegro,allegro,1 mark for the correct term or marking.,The correct answer is allegro (Allegro).,vivace|presto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-ALLEGRO-S,TEM-ALLEGRO,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,allegro,Allegro,tempo_word,fast and lively,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: fast and lively.,,allegro,allegro,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: allegro.,vivace|presto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-ALLEGRO-M,TEM-ALLEGRO,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,allegro,Allegro,tempo_word,fast and lively,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,allegro: fast and lively,allegro,1 mark for identifying allegro; 1 mark for a valid description of its effect: fast and lively.,"For full marks, name the marking and explain its musical effect. Allegro: fast and lively.",vivace|presto,,text,Yes,Show Allegro above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-VIVACE-F,TEM-VIVACE,Tempo,tempo-markings,Foundation,1,Developing,multiple_choice,1,Yes,vivace,Vivace,tempo_word,lively and quick,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Vivace mean?,lively and quick | fast and lively | very fast | broad and very slow,lively and quick,vivace,1 mark for the correct meaning.,Vivace means lively and quick.,allegro|presto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,locked_until_level,
ML-TEM-VIVACE-D,TEM-VIVACE,Tempo,tempo-markings,Developing,2,Developing,multiple_choice_reverse,1,Yes,vivace,Vivace,tempo_word,lively and quick,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: lively and quick?,vivace | allegro | presto | largo,vivace,vivace,1 mark for the correct term or marking.,The correct answer is vivace (Vivace).,allegro|presto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-VIVACE-S,TEM-VIVACE,Tempo,tempo-markings,Securing,3,Developing,short_answer,1,No,vivace,Vivace,tempo_word,lively and quick,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: lively and quick.,,vivace,vivace,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: vivace.,allegro|presto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-VIVACE-M,TEM-VIVACE,Tempo,tempo-markings,Mastering,4,Developing,exam_style_short_answer,2,No,vivace,Vivace,tempo_word,lively and quick,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,vivace: lively and quick,vivace,1 mark for identifying vivace; 1 mark for a valid description of its effect: lively and quick.,"For full marks, name the marking and explain its musical effect. Vivace: lively and quick.",allegro|presto,,text,Yes,Show Vivace above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-PRESTO-F,TEM-PRESTO,Tempo,tempo-markings,Foundation,1,Developing,multiple_choice,1,Yes,presto,Presto,tempo_word,very fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Presto mean?,very fast | fast and lively | as fast as possible; extremely fast | broad and very slow,very fast,presto,1 mark for the correct meaning.,Presto means very fast.,allegro|prestissimo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,locked_until_level,
ML-TEM-PRESTO-D,TEM-PRESTO,Tempo,tempo-markings,Developing,2,Developing,multiple_choice_reverse,1,Yes,presto,Presto,tempo_word,very fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: very fast?,presto | allegro | prestissimo | largo,presto,presto,1 mark for the correct term or marking.,The correct answer is presto (Presto).,allegro|prestissimo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-PRESTO-S,TEM-PRESTO,Tempo,tempo-markings,Securing,3,Developing,short_answer,1,No,presto,Presto,tempo_word,very fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: very fast.,,presto,presto,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: presto.,allegro|prestissimo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-PRESTO-M,TEM-PRESTO,Tempo,tempo-markings,Mastering,4,Developing,exam_style_short_answer,2,No,presto,Presto,tempo_word,very fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,presto: very fast,presto,1 mark for identifying presto; 1 mark for a valid description of its effect: very fast.,"For full marks, name the marking and explain its musical effect. Presto: very fast.",allegro|prestissimo,,text,Yes,Show Presto above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-PRESTISSIMO-F,TEM-PRESTISSIMO,Tempo,tempo-markings,Foundation,1,Securing,multiple_choice,1,Yes,prestissimo,Prestissimo,tempo_word,as fast as possible; extremely fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Prestissimo mean?,as fast as possible; extremely fast | very fast | lively and quick | broad and very slow,as fast as possible; extremely fast,prestissimo,1 mark for the correct meaning.,Prestissimo means as fast as possible; extremely fast.,presto|vivace,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,locked_until_level,
ML-TEM-PRESTISSIMO-D,TEM-PRESTISSIMO,Tempo,tempo-markings,Developing,2,Securing,multiple_choice_reverse,1,Yes,prestissimo,Prestissimo,tempo_word,as fast as possible; extremely fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: as fast as possible; extremely fast?,prestissimo | presto | vivace | largo,prestissimo,prestissimo,1 mark for the correct term or marking.,The correct answer is prestissimo (Prestissimo).,presto|vivace,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,locked_until_level,
ML-TEM-PRESTISSIMO-S,TEM-PRESTISSIMO,Tempo,tempo-markings,Securing,3,Securing,short_answer,1,No,prestissimo,Prestissimo,tempo_word,as fast as possible; extremely fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: as fast as possible; extremely fast.,,prestissimo,prestissimo,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: prestissimo.,presto|vivace,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-PRESTISSIMO-M,TEM-PRESTISSIMO,Tempo,tempo-markings,Mastering,4,Securing,exam_style_short_answer,2,No,prestissimo,Prestissimo,tempo_word,as fast as possible; extremely fast,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,prestissimo: as fast as possible; extremely fast,prestissimo,1 mark for identifying prestissimo; 1 mark for a valid description of its effect: as fast as possible; extremely fast.,"For full marks, name the marking and explain its musical effect. Prestissimo: as fast as possible; extremely fast.",presto|vivace,,text,Yes,Show Prestissimo above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-ACCEL-F,TEM-ACCEL,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,accelerando,accel.,tempo_change,gradually getting faster,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does accel. mean?,"gradually getting faster | gradually getting slower | flexible tempo for expression, with slight speeding up and slowing down | broad and very slow",gradually getting faster,accelerando|accel|accel.,1 mark for the correct meaning.,Accelerando means gradually getting faster.,rallentando|rubato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
ML-TEM-ACCEL-D,TEM-ACCEL,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,accelerando,accel.,tempo_change,gradually getting faster,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: gradually getting faster?,accelerando | rallentando | rubato | largo,accelerando,accelerando|accel|accel.,1 mark for the correct term or marking.,The correct answer is accelerando (accel.).,rallentando|rubato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-ACCEL-S,TEM-ACCEL,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,accelerando,accel.,tempo_change,gradually getting faster,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: gradually getting faster.,,accelerando,accelerando|accel|accel.,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: accelerando.,rallentando|rubato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-ACCEL-M,TEM-ACCEL,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,accelerando,accel.,tempo_change,gradually getting faster,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,accelerando: gradually getting faster,accelerando|accel|accel.,1 mark for identifying accelerando; 1 mark for a valid description of its effect: gradually getting faster.,"For full marks, name the marking and explain its musical effect. Accelerando: gradually getting faster.",rallentando|rubato,,text,Yes,Show accel. above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-RALL-F,TEM-RALL,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,rallentando,rall.,tempo_change,gradually getting slower,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does rall. mean?,"gradually getting slower | gradually getting faster | flexible tempo for expression, with slight speeding up and slowing down | broad and very slow",gradually getting slower,rallentando|rall|rall.,1 mark for the correct meaning.,Rallentando means gradually getting slower.,accelerando|rubato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
ML-TEM-RALL-D,TEM-RALL,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,rallentando,rall.,tempo_change,gradually getting slower,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: gradually getting slower?,rallentando | accelerando | rubato | largo,rallentando,rallentando|rall|rall.,1 mark for the correct term or marking.,The correct answer is rallentando (rall.).,accelerando|rubato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
