Question ID,Audio ID,Composer,Work,Movement / Section,Time Signature,Question,Score Asset Filename,Score Preparation Instruction,Score Link,Score Rights,Score Asset Status,Release Readiness
MMX041,MTR011,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",III. Molto vivace,3/4,The time signature has been removed from the score. Write the missing time signature. (1),mmx041_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove only the printed time signature.,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX042,MTR012,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",IV. Finale,2/4,Underline the correct time signature for the printed extract. (1),mmx042_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the original time signature and present the four answer options below the score.,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX043,MTR013,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",I. Morning Mood,6/8,Describe the metre shown by the score. (2),mmx043_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the rhythmic grouping visible. The printed signature may be removed.,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX044,MTR014,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",II. The Death of Åse,4/4,Explain how the notation confirms the metre. (2),mmx044_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the signature but retain beaming, barlines and enough notes to show the beat grouping.",https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX045,MTR015,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",III. Anitra’s Dance,3/4,State two features of rhythm and metre shown by the score. (2),mmx045_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the signature visible because the question assesses broader interpretation, not only recall.",https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX046,MTR016,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",IV. In the Hall of the Mountain King,4/4,The time signature has been removed from the score. Write the missing time signature. (1),mmx046_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove only the printed time signature.,https://imslp.org/wiki/Peer_Gynt_Suite_No.1%2C_Op.46_%28Grieg%2C_Edvard%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX047,MTR017,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",I. Allegro moderato,2/2,Underline the correct time signature for the printed extract. (1),mmx047_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the original time signature and present the four answer options below the score.,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX048,MTR018,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",II. Adagio cantabile,3/4,Describe the metre shown by the score. (2),mmx048_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the rhythmic grouping visible. The printed signature may be removed.,https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX049,MTR019,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",III. Menuetto,3/4,Explain how the notation confirms the metre. (2),mmx049_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the signature but retain beaming, barlines and enough notes to show the beat grouping.",https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX050,MTR020,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",IV. Finale,2/4,State two features of rhythm and metre shown by the score. (2),mmx050_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the signature visible because the question assesses broader interpretation, not only recall.",https://imslp.org/wiki/String_Quartet_in_D_major%2C_Hob.III%3A63_%28Haydn%2C_Joseph%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX051,MTR021,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",I. Allegro vivace,6/8,The time signature has been removed from the score. Write the missing time signature. (1),mmx051_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove only the printed time signature.,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX052,MTR022,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",II. Andante con moto,4/4,Underline the correct time signature for the printed extract. (1),mmx052_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the original time signature and present the four answer options below the score.,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX053,MTR023,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",III. Con moto moderato,3/4,Describe the metre shown by the score. (2),mmx053_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the rhythmic grouping visible. The printed signature may be removed.,https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX054,MTR024,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",IV. Saltarello: Presto,4/4,Explain how the notation confirms the metre. (2),mmx054_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the signature but retain beaming, barlines and enough notes to show the beat grouping.",https://imslp.org/wiki/Symphony_No.4%2C_Op.90_%28Mendelssohn%2C_Felix%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX055,MTR025,W. A. Mozart,"Symphony No. 40 in G minor, K.550",I. Molto allegro,2/2,State two features of rhythm and metre shown by the score. (2),mmx055_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the signature visible because the question assesses broader interpretation, not only recall.",https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX056,MTR026,W. A. Mozart,"Symphony No. 40 in G minor, K.550",II. Andante,6/8,The time signature has been removed from the score. Write the missing time signature. (1),mmx056_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove only the printed time signature.,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX057,MTR027,W. A. Mozart,"Symphony No. 40 in G minor, K.550",III. Menuetto,3/4,Underline the correct time signature for the printed extract. (1),mmx057_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the original time signature and present the four answer options below the score.,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX058,MTR028,W. A. Mozart,"Symphony No. 40 in G minor, K.550",IV. Allegro assai,2/2,Describe the metre shown by the score. (2),mmx058_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the rhythmic grouping visible. The printed signature may be removed.,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX059,MTR029,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",II. Allegro con grazia,5/4,Explain how the notation confirms the metre. (2),mmx059_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the signature but retain beaming, barlines and enough notes to show the beat grouping.",https://imslp.org/wiki/Symphony_No.6%2C_Op.74_%28Tchaikovsky%2C_Pyotr%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX060,MTR030,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",III. Allegro molto vivace,12/8,State two features of rhythm and metre shown by the score. (2),mmx060_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the signature visible because the question assesses broader interpretation, not only recall.",https://imslp.org/wiki/Symphony_No.6%2C_Op.74_%28Tchaikovsky%2C_Pyotr%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
