Question ID,Review Decision,Level,Response Type,Preferred Answer,Correct Choice,Max Marks,Audio,Texture Focus,Prompt,Model Answer,Review Notes
TT016,edit,Securing,short-text,"Unison or octaves, then thicker texture","Unison or octaves, then thicker texture",2,audio/TT016.mp3,Unison/octaves → thicker texture,Identify the opening texture and describe one way it changes. (2),"The opening is in unison / octaves, sounding like a single coordinated line. More parts are then added, making the texture thicker; accept homophonic or polyphonic where justified by the clip.",Starts with octaves - is the change to homophonic or polyphonic? Unsure myself!
TT017,edit,Foundation,multiple-choice,Homophonic,Homophonic,1,audio/TT017.mp3,Homophonic texture,Identify the texture in this extract. (1),Homophonic: the parts move together and the texture does not significantly change in this clip.,Not sure the texture changes in this clip.
TT018,keep,Mastering,extended-text,Layered texture,Layered texture,2,audio/TT018.mp3,Thin → thicker/layered,Describe two ways the texture changes during the extract. (2),"Award one mark for each valid change, for example: more instrumental parts enter; the texture becomes thicker; the melody passes between instruments; countermelodies/independent lines are added; the accompaniment becomes more active.","Clip is way too long. During the clip, texture starts thin and gets thicker. doesn't need a 50 second clip to show that."
TT019,keep,Mastering,extended-text,Monophonic,Monophonic,2,audio/TT019.mp3,Monophonic → fugal polyphony,(a) Identify the texture at the opening. (1) (b) Describe how the texture changes as the extract continues. (1),"(a) Monophonic / a single unaccompanied subject line. (1) (b) Further subject/answer entries overlap, producing a thicker polyphonic/contrapuntal/fugal texture. (1)",
TT020,keep,Securing,multiple-choice,Fugal imitation,Fugal imitation,1,audio/TT020.mp3,Fugal imitation,Name the textural device created as the subject enters successively in different voices. (1),Fugue / fugal writing / fugal imitation. Accept imitative polyphony. (1),
TT021,keep,Securing,short-text,Monophonic,Monophonic,2,audio/TT021.mp3,Monophonic → fugal polyphony,(a) Identify the texture when the subject is first heard. (1) (b) Identify and explain the later texture. (1),(a) Monophonic / single-line. (1) (b) Polyphonic/contrapuntal because independent imitative subject entries overlap; accept fugal. (1),
TT022,keep,Securing,short-text,Fugal imitation,Fugal imitation,1,audio/TT022.mp3,Fugal imitation,Name the textural device used in this extract. (1),Fugue / fugal writing / fugal imitation. Accept imitative polyphony; give partial credit for polyphonic or contrapuntal.,"Not a two part question - question should be ""Name the textural device used in this extract"". Accept Fugue. Half marks for polyphony, counterpoint etc."
TT023,keep,Developing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT023.mp3,Polyphonic texture,Identify the texture once the subject and answers are sounding together. (1),Polyphonic / contrapuntal. Accept fugal or imitative texture. (1),
TT024,keep,Securing,short-text,Monophonic,Monophonic,2,audio/TT024.mp3,Monophonic → fugal polyphony,Identify the opening texture and explain the later texture. (2),"It opens with a single line / monophonic subject. Later, independent imitative entries overlap, producing a polyphonic / contrapuntal / fugal texture.",Ensure question isn't split into a and b. One sentence questions.
TT025,keep,Securing,short-text,Monophonic,Monophonic,2,audio/TT025.mp3,Monophonic → fugal polyphony,Identify the texture at the opening and describe how it changes as the extract continues. (2),"It begins monophonically with one unaccompanied subject line, then further entries overlap to create a thicker polyphonic / contrapuntal / fugal texture.",Don't split questions into a and b
TT026,keep,Mastering,short-text,Fugal imitation,Fugal imitation,1,audio/TT026.mp3,Fugal imitation,Name the textural device created as the subject enters successively in different voices. (1),Fugue / fugal writing / fugal imitation. Accept imitative polyphony. (1),
TT027,keep,Mastering,extended-text,Monophonic,Monophonic,2,audio/TT027.mp3,Monophonic → fugal polyphony,Identify the opening texture and explain the later texture. (2),"It opens with a single line / monophonic subject. Later, independent imitative entries overlap, producing a polyphonic / contrapuntal / fugal texture.",Don't split questions into a and b
TT028,keep,Mastering,extended-text,Monophonic,Monophonic,2,audio/TT028.mp3,Monophonic → fugal polyphony,Identify the texture at the opening and describe how it changes as the extract continues. (2),"It begins monophonically with one unaccompanied subject line, then further entries overlap to create a thicker polyphonic / contrapuntal / fugal texture.",Don't split question into a nd b
TT029,keep,Mastering,extended-text,Monophonic,Monophonic,2,audio/TT029.mp3,Monophonic → fugal polyphony,Describe two ways the texture is built during the extract. (2),Award one mark for each valid point: it begins with one line/one voice; another voice enters in imitation; further independent parts are added; the texture becomes thicker; the result is polyphonic/contrapuntal/fugal. (2),
TT030,keep,Mastering,short-text,Fugal imitation,Fugal imitation,1,audio/TT030.mp3,Fugal imitation,Name the textural device created as the subject enters successively in different voices. (1),Fugue / fugal writing / fugal imitation. Accept imitative polyphony. (1),
TT032,keep,Mastering,short-text,Monophonic,Monophonic,2,audio/TT032.mp3,Monophonic → fugal polyphony,Describe two ways the texture is built during the extract. (2),Award one mark for each valid point: it begins with one line/one voice; another voice enters in imitation; further independent parts are added; the texture becomes thicker; the result is polyphonic/contrapuntal/fugal. (2),
TT033,keep,Mastering,extended-text,Monophonic,Monophonic,2,audio/TT033.mp3,Monophonic → fugal polyphony,Identify the opening texture and explain the later texture. (2),"It opens with a single line / monophonic subject. Later, independent imitative entries overlap, producing a polyphonic / contrapuntal / fugal texture.",Don't split intop a and b
TT034,keep,Securing,short-text,Polyphonic,Polyphonic,1,audio/TT034.mp3,Polyphonic texture,Identify the texture once the subject and answers are sounding together. (1),Polyphonic / contrapuntal. Accept fugal or imitative texture. (1),
TT035,keep,Securing,short-text,Monophonic,Monophonic,2,audio/TT035.mp3,Monophonic → fugal polyphony,Describe two ways the texture is built during the extract. (2),Award one mark for each valid point: it begins with one line/one voice; another voice enters in imitation; further independent parts are added; the texture becomes thicker; the result is polyphonic/contrapuntal/fugal. (2),
TT036,keep,Securing,short-text,Monophonic,Monophonic,2,audio/TT036.mp3,Monophonic → fugal polyphony,Identify the opening texture and explain the later texture. (2),"It opens with a single line / monophonic subject. Later, independent imitative entries overlap, producing a polyphonic / contrapuntal / fugal texture.",Don't split questions into 2
TT037,edit,Developing,multiple-choice,Homophonic,Homophonic,1,audio/TT037.mp3,Homophonic texture,Identify the texture in this extract. (1),Homophonic: the texture remains homophonic in this clip.,This is only homophonic. Texture does not changhe.
TT039,edit,Mastering,extended-text,Fugal imitation,Fugal imitation,2,audio/TT039.mp3,Fugal texture build,Describe two ways the texture is built during the extract. (2),"Award one mark for each valid point: voices enter one after another; entries imitate one another; independent lines overlap; the texture becomes thicker; the resulting texture is polyphonic, contrapuntal or fugal. (2)",not monophonic at start
TT041,keep,Foundation,multiple-choice,Homophonic,Homophonic,1,audio/TT041.mp3,Homophonic texture,Identify the texture at the opening of the extract. (1),Homophonic / homorhythmic / chordal. (1),
TT042,keep,Mastering,short-text,Fugal imitation,Fugal imitation,2,audio/TT042.mp3,Fugal polyphony,Describe two features of the texture in this extract. (2),Award one mark for each: imitative entries; subject/answer; independent vocal lines; polyphonic/contrapuntal texture; fugal writing; layers/parts are added and the texture thickens. (2),
TT043,keep,Securing,short-text,Layered texture,Layered texture,2,audio/TT043.mp3,Thin texture → full choral texture,Describe the texture at the beginning and how it changes when the full choir enters. (2),"The beginning has a single / high vocal line or very thin texture. When the full choir enters, the texture becomes much thicker and homophonic / chordal.",Revise wording of question to avoid a and b.
TT044,edit,Developing,short-text,Homophonic texture thickening,Homophonic texture thickening,2,audio/TT044.mp3,Homophonic texture thickening,Describe the texture and how it changes when the choir enters. (2),The excerpt starts homophonic and remains homophonic when the choir enters. The texture thickens as more voices are added.,Model answer: The excerpt starts homophonic and remains homophonic when the choir enters. The texture thickens as more voices are added.
TT046,edit,Developing,multiple-choice,Homophonic,Homophonic,1,audio/TT046.mp3,Homophonic texture,Identify the texture in this extract. (1),Homophonic: the parts move together and the texture does not significantly thicken in this clip.,This is an example of homophony. the texture does not thicken
TT047,edit,Developing,multiple-choice,Monophonic / octaves,Monophonic,1,audio/TT047.mp3,Monophonic / octaves,Identify the texture in this extract. (1),Monophonic / octaves: the opening is a single coordinated line before the later pedal and chordal build.,Shorten clip to cut before the pedal and chords build. Answer will be monophonic or octaves.
TT048,keep,Securing,short-text,Monophonic then fugal polyphony,Monophonic then fugal polyphony,2,audio/TT048.mp3,Monophonic → fugal polyphony,Identify the texture at the start and describe how it changes in the extract. (2),"It starts monophonically with one line, then becomes polyphonic / contrapuntal / fugal as independent imitative entries overlap.",2 part questions cannot be multiple choice. This is a good example of monophonic - polyphony (fugal). Should be a written question. Rephrase question to avoid a two part a and b
TT049,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT049.mp3,Monophonic texture,Which term best describes the texture of this extract? (1),Monophonic. (1),
TT050,keep,Foundation,multiple-choice,Chordal homophony,Homophonic,1,audio/TT050.mp3,Homophonic chordal texture,Which term best describes the texture of this extract? (1),Homophonic. (1),
TT051,keep,Foundation,multiple-choice,Fugal imitation,Polyphonic,1,audio/TT051.mp3,Fugal polyphony,Which term best describes the texture of this extract? (1),Polyphonic. (1),
TT052,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT052.mp3,Monophonic texture,Which term best describes the texture of this extract? (1),Monophonic. (1),
TT053,keep,Foundation,multiple-choice,Melody and accompaniment,Homophonic,1,audio/TT053.mp3,Melody and accompaniment,Which term best describes the texture of this extract? (1),Homophonic. (1),
TT054,keep,Foundation,multiple-choice,Polyphonic,Polyphonic,1,audio/TT054.mp3,Polyphonic texture,Which term best describes the texture of this extract? (1),Polyphonic. (1),
TT055,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT055.mp3,Monophonic texture,Which term best describes the texture of this extract? (1),Monophonic. (1),
TT056,keep,Foundation,multiple-choice,Homophonic,Homophonic,1,audio/TT056.mp3,Homophonic texture,Which term best describes the texture of this extract? (1),Homophonic. (1),
TT057,keep,Foundation,multiple-choice,Homophonic,Homophonic,1,audio/TT057.mp3,Homophonic texture,Which term best describes the texture of this extract? (1),Homophonic. (1),Answer is homophonic
TT058,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT058.mp3,Monophonic texture,Which term best describes the texture of this extract? (1),Monophonic. (1),
TT059,keep,Developing,multiple-choice,Chordal homophony,Homophonic,1,audio/TT059.mp3,Homophonic chordal texture,Which term best describes the texture of this extract? (1),Homophonic. (1),
TT061,keep,Developing,multiple-choice,Chordal homophony,Homophonic,1,audio/TT061.mp3,Homophonic chordal texture,Which term best describes the texture of this extract? (1),Homophonic. (1),
TT062,keep,Developing,multiple-choice,Monophonic,One unaccompanied melodic line,1,audio/TT062.mp3,Monophonic texture,Identify the texture.,One unaccompanied melodic line. (1),
TT063,keep,Developing,multiple-choice,Chordal homophony,A principal melody supported by other parts,1,audio/TT063.mp3,Homophonic chordal texture,Which description best matches the texture of this extract? (1),A principal idea supported by other parts; accept chordal / homorhythmic. (1),
TT064,keep,Developing,short-text,Fugal imitation,A melody is supported only by block chords,1,audio/TT064.mp3,Fugal polyphony,Which description best matches the relationship between the parts? (1),Independent melodic lines overlap. (1),
TT065,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT065.mp3,Monophonic texture,Identify the texture.,One unaccompanied melodic line. (1),
TT066,keep,Securing,short-text,Melody and accompaniment,A principal melody supported by other parts,1,audio/TT066.mp3,Melody and accompaniment,Which description best matches the texture of this extract? (1),A principal idea supported by other parts; accept melody and accompaniment. (1),
TT067,edit,Developing,multiple-choice,Polyphonic,Independent melodic lines overlap,1,audio/TT067.mp3,Polyphonic texture,Which description best matches the relationship between the parts? (1),Independent melodic lines overlap. (1),
TT068,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT068.mp3,Monophonic texture,Identify the texture.,One unaccompanied melodic line. (1),
TT069,keep,Securing,short-text,Homophonic,A principal melody supported by other parts,1,audio/TT069.mp3,Homophonic texture,Name the texture heard in the extract. (1),A principal idea supported by other parts; accept thick homophonic orchestral texture. (1),
TT070,keep,Securing,short-text,Polyphonic,Independent melodic lines overlap,1,audio/TT070.mp3,Polyphonic texture,Which description best matches the relationship between the parts? (1),Independent melodic lines overlap. (1),
TT071,keep,Securing,short-text,Homophonic,A principal melody supported by other parts,1,audio/TT071.mp3,Homophonic texture,Which description best matches the texture of this extract? (1),A principal idea supported by other parts; accept thick homophonic orchestral texture. (1),
TT072,edit,Securing,short-text,Polyphonic,Independent melodic lines overlap,1,audio/TT072.mp3,Polyphonic texture,Describe the texture in this extract. (1),Polyphonic / contrapuntal: independent melodic lines overlap.,"Not a multiple choice question so needs rephrasing ""Describe the texture in this extract"" (1). Answer will be polyphonic or equivalent."
TT073,edit,Developing,multiple-choice,Homophonic,Homophonic,1,audio/TT073.mp3,Homophonic texture,Which description best matches the texture of this extract? (1),A principal idea supported by other parts; accept thick homophonic orchestral texture. (1),"Change answer options to: Homophonic, Polyphonic, contrapuntal and antiphonal."
TT075,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT075.mp3,Monophonic texture,Identify the texture in this extract. (1),Monophonic (1); one unaccompanied melodic line / no simultaneous independent accompaniment (1).,
TT076,edit,Developing,multiple-choice,Homophonic,Homophonic,1,audio/TT076.mp3,Homophonic texture,Identify the texture in this extract. (1),Homophonic. (1),"Change 'Melody and accompaniment' option to ""Fugal"" as m & a is too similar to homophony. The clip is not Peer Gynt. It is Hall of Mountain King"
TT077,keep,Mastering,extended-text,Fugal imitation,Fugal imitation,2,audio/TT077.mp3,Fugal polyphony,Identify the texture and give one musical reason for your answer. (2),Polyphonic or fugal (1); independent imitative subject entries overlap (1).,
TT078,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT078.mp3,Monophonic texture,Identify the texture in this extract. (1),Monophonic (1); one unaccompanied melodic line / no simultaneous independent accompaniment (1).,
TT079,keep,Mastering,extended-text,Homophonic,Homophonic,2,audio/TT079.mp3,Homophonic texture,Identify the texture and give one musical reason for your answer. (2),Homophonic (1); thick homophonic orchestral texture / parts support one principal idea (1).,
TT080,edit,Developing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT080.mp3,Polyphonic texture,Identify the texture in this extract. (1),Polyphonic / contrapuntal. (1),"This is a multiplke choice question so the question needs rephrasing ""Identify the texture in this extract"" (1)"
TT081,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT081.mp3,Monophonic texture,Identify the texture in this extract. (1),Monophonic (1); one unaccompanied melodic line / no simultaneous independent accompaniment (1).,
TT082,keep,Mastering,short-text,Melody and accompaniment,Melody and accompaniment,2,audio/TT082.mp3,Melody and accompaniment,Identify the texture and give one musical reason for your answer. (2),Homophonic (1); melody and accompaniment / parts support one principal idea (1).,Answer could also be homophonic - there is one melodic line and the other parts support this. Still not totr
TT083,keep,Mastering,extended-text,Polyphonic,Polyphonic,2,audio/TT083.mp3,Polyphonic texture,Identify the texture and give one musical reason for your answer. (2),Polyphonic or contrapuntal (1); two or more independent melodic lines overlap (1).,
TT084,edit,Developing,multiple-choice,Chordal homophony,Chordal homophony,1,audio/TT084.mp3,Homophonic chordal texture,Identify the texture in the extract. (1),Homophonic / chordal. (1),"Multiple choice question. Remove 'give one musical reason for your answer'. Make a 1 mark question - ""Identify the texture in the extract."""
TT085,keep,Mastering,extended-text,Chordal homophony,Chordal homophony,2,audio/TT085.mp3,Homophonic chordal texture,Identify the texture and give one musical reason for your answer. (2),Homophonic (1); chordal / homorhythmic / parts support one principal idea (1).,
TT086,keep,Mastering,extended-text,Melody and accompaniment,Melody and accompaniment,2,audio/TT086.mp3,Melody and accompaniment,Identify the texture and give one musical reason for your answer. (2),Homophonic (1); melody and accompaniment / parts support one principal idea (1).,
TT087,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT087.mp3,Monophonic texture,Identify the texture in this extract. (1),Award one mark for each: a single performer/line is heard; there is no simultaneous independent accompaniment; broken chords/register changes imply harmony but do not create separate parts. (2),
TT088,edit,Mastering,extended-text,Homophonic,Homophonic,2,audio/TT088.mp3,Homophonic texture,Identify the texture and the relationship between the principal line and the supporting parts. (2),Homophonic (1); thick homophonic orchestral texture / a principal idea is supported by subordinate parts / the main parts move together chordally where applicable (1).,"Edit the question ""Identify the texture and the relationship between the principal line and the supporting parts."""
TT089,keep,Mastering,extended-text,Fugal imitation,Fugal imitation,2,audio/TT089.mp3,Fugal polyphony,Name the specific textural technique and explain how it creates the broader texture. (2),"Fugal writing / fugue / fugal imitation (1); subject entries overlap in independent voices, creating polyphonic/contrapuntal texture (1).",
TT090,edit,Developing,multiple-choice,Monophonic,Monophonic,1,audio/TT090.mp3,Monophonic texture,Identify the texture in the extract. (1),Monophonic. (1),"Change to 1 mark question - ""Identify the texture in the extract."""
TT091,keep,Mastering,short-text,Chordal homophony,Chordal homophony,2,audio/TT091.mp3,Homophonic chordal texture,Identify the texture.,Homophonic (1); chordal / homorhythmic / a principal idea is supported by subordinate parts / the main parts move together chordally where applicable (1).,
TT093,edit,Securing,short-text,Melody and accompaniment,Melody and accompaniment,2,audio/TT093.mp3,Melody and accompaniment,"Describe the texture in two ways, including how the accompaniment supports the principal melody. (2)",Homophonic (1); melody and accompaniment / a principal idea is supported by subordinate parts / the main parts move together chordally where applicable (1).,"Describe the texture in two ways, including how the accompaniment supports the principal melody. (2)"
TT095,keep,Mastering,extended-text,Chordal homophony,Chordal homophony,2,audio/TT095.mp3,Homophonic chordal texture,"Describe the texture in two ways, including the relationship between the principal line and the supporting parts. (2)",Homophonic (1); chordal / homorhythmic / a principal idea is supported by subordinate parts / the main parts move together chordally where applicable (1).,
TT097,edit,Developing,short-text,Melody and accompaniment,Melody and accompaniment,1,audio/TT097.mp3,Homophonic / melody and accompaniment,Describe the texture in the extract. (1),Homophonic / melody and accompaniment. (1),"Q: ""Describe the texture in the extract"" Make a 1 mark question. Answer is homophonic/melody and accompaniment or any relevant answer."
TT098,keep,Mastering,extended-text,Homophonic,Homophonic,2,audio/TT098.mp3,Homophonic texture,"Describe the texture in two ways, including the relationship between the principal line and the supporting parts. (2)",Homophonic (1); thick homophonic orchestral texture / a principal idea is supported by subordinate parts / the main parts move together chordally where applicable (1).,Clip needs to start 8 seconds later. Redownload audio from 8 second in.
TT099,keep,Securing,short-text,Chordal homophony,Chordal homophony,1,audio/TT099.mp3,Homophonic,Which description best matches the relationship between the vocal parts?,The voices move together in chords (chordal homophony).,
TT100,keep,Mastering,short-text,Chordal homophony,Chordal homophony,2,audio/TT100.mp3,Homophonic,Name the texture and give one reason for your answer.,Homophonic: the choir largely moves together rhythmically to form chords.,Clip needs to start 4 seconds later. Redownload the audio and insert.
TT101,edit,Developing,multiple-choice,Monophonic,Monophonic,1,audio/TT101.mp3,Monophonic texture,Which term best describes this choral texture?,Monophonic: this is a solo line with no independent accompaniment.,The answer is wrong. this is a solo monophonic line. Change answer.
TT105,keep,Developing,multiple-choice,Melody and accompaniment,Melody and accompaniment,1,audio/TT105.mp3,Homophonic,Which phrase best describes the texture?,Melody and accompaniment.,
TT108,keep,Developing,short-text,Melody and accompaniment,Melody and accompaniment,2,audio/TT108.mp3,Homophonic,Describe the texture in this extract in two ways. (2),Homophonic / melody and accompaniment: one melody is supported by repeated chords in the left hand.,"Clip needs to start 4 seconds later. Redownload audio. Change question to ""Describe the texture in this extract in two ways."" (2). Answers: Homophonic/melody and accompaniment/one melody supported by chords in the left hand etc....."
TT109,keep,Securing,short-text,Melody and accompaniment,Melody and accompaniment,1,audio/TT109.mp3,Homophonic,Name the texture heard in this solo-guitar extract.,Melody and accompaniment.,
TT111,keep,Foundation,multiple-choice,Polyphonic,Polyphonic,1,audio/TT111.mp3,Simple polyphonic,What texture is created by the two independent melodic lines?,Polyphonic / contrapuntal.,
TT112,keep,Developing,short-text,Polyphonic,Polyphonic,2,audio/TT112.mp3,Simple polyphonic,Give one audible reason why this is polyphonic rather than melody and accompaniment.,Both parts have melodic independence and similar importance.,
TT113,keep,Developing,multiple-choice,Imitative texture,Imitative texture,1,audio/TT113.mp3,Simple polyphonic,Identify the texture.,It is imitated by the second part.,
TT114,edit,Developing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT114.mp3,Simple polyphonic,Which option best describes the texture in this extract?,A principal melody is combined with a countermelody.,Change question to: Which option best describes the texture in this extract?
TT115,keep,Developing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT115.mp3,Simple polyphonic,Identify the texture.,"They sing independent, overlapping melodic lines, producing polyphony.",
TT116,edit,Developing,multiple-choice,Canon,Canon,1,audio/TT116.mp3,Canon,Which option best describes the texture in this extract?,Canon: the same melody begins at different times.,"Change question: Which option best describes the texture in this extract? Make answers: Canon, Homophonic, Heterophonic and Melody & Accompaniment."
TT117,keep,Developing,multiple-choice,Canon,Canon,1,audio/TT117.mp3,Simple polyphonic,Identify the textural device.,Each voice enters with the same melody after another voice has begun.,
TT118,keep,Developing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT118.mp3,Simple polyphonic,Identify the texture.,They exchange and overlap independent melodic ideas.,
TT120,keep,Securing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT120.mp3,Simple polyphonic,Identify the texture.,Secondary string lines form countermelodies and overlap with the main idea.,
TT121,keep,Securing,short-text,Heterophonic,Heterophonic,1,audio/TT121.mp3,Heterophonic,Which texture is created when performers play versions of the same tune at the same time?,Heterophonic.,
TT122,keep,Developing,multiple-choice,Heterophonic,Heterophonic,1,audio/TT122.mp3,Heterophonic,Choose the most precise description of the relationship between the melodic layers.,Heterophonic: related versions of a shared melodic framework sound together.,
TT123,edit,Securing,short-text,Heterophonic,Heterophonic,2,audio/TT123.mp3,Heterophonic,Describe the texture in the following extract. (2),Heterophonic (1): different performers play decorated or varied versions of the same melodic material at the same time (1).,Change question: Describe the texture in the following extract. (2). Answers should be Heterophonic (1) and any acceptable definition of hetrophony (1) (CODEX - look for definitions of hetrophony that a student may give and adjust marksceme accordingly)
TT124,keep,Securing,multiple-choice,Heterophonic,Heterophonic,1,audio/TT124.mp3,Heterophonic,Identify the texture.,Heterophonic; several parts present related versions or levels of the same melodic material.,
TT125,keep,Securing,short-text,Heterophonic,Heterophonic,2,audio/TT125.mp3,Heterophonic,How do the performers treat the underlying melody?,They perform it together with individual ornamentation and small rhythmic or melodic differences.,
TT127,edit,Securing,multiple-choice,Fugue,Fugue,1,audio/TT127.mp3,Fugue,Identify the textural device featured in the extract.,Fugue: the subject enters successively in different voices.,"Make multiple choice. Change question to: Identify the textural device featured in the extract. Answers should be: Canon, Fugue, Hetrophony, Antiphony"
TT128,edit,Securing,multiple-choice,Fugal imitation,Fugal imitation,1,audio/TT128.mp3,Advanced polyphonic,What technique produces the dense texture at the opening?,Fugal imitation: the subject is introduced by successive independent voices.,Audio needs to start later and be slighly longer in order to hear the fugal entries.
TT130,edit,Mastering,short-text,Polyphonic,Polyphonic,2,audio/TT130.mp3,Advanced polyphonic,Name and describe the textural device used in the extract. (2),"Dense polyphonic / contrapuntal texture, with many overlapping vocal lines.",Change question: Name and describe the textural device used in the extract. (2) Keep answer scheme the same.
TT131,edit,Securing,short-text,Polyphonic,Polyphonic,2,audio/TT131.mp3,Advanced polyphonic,Which term best describes the texture: contrapuntal or chordal? Give one reason for your answer. (2),The voices retain independent melodic movement and overlap rather than always moving in one rhythm.,Change question wording: Which term best describes the texture: contrapuntal or chordal? Give one reason for your answer. (2)
TT132,keep,Securing,multiple-choice,Polyphonic,Polyphonic,1,audio/TT132.mp3,Advanced polyphonic,Identify the texture.,Overlapping independent vocal lines and/or imitation between voices.,
TT133,edit,Mastering,extended-text,Polyphonic,Polyphonic,2,audio/TT133.mp3,Advanced polyphonic,Which term best describes the texture? Give one reason for your answer. (2),Polyphonic; imitative / contrapuntal motet texture.,Change question: Which term best describes the texture? Give one reason for your answer. (2)
TT134,edit,Mastering,extended-text,Polyphonic,Polyphonic,2,audio/TT134.mp3,Advanced polyphonic,Describe the relationship between the melodic parts in this extract. (2),Award any two: several independent melodic lines are heard; the lines overlap; the parts have different rhythms or enter at different times; one part may imitate another; no single part functions solely as accompaniment; any other relevant texture observation.,Change question and answers: Q Describe the relationship between the melodic parts in this extract. (2) Mark scheme — any two: several independent melodic lines are heard; the lines overlap; the parts have different rhythms or enter at different times; one part may imitate another; no single part functions solely as accompaniment. any other relevant answer.
TT135,keep,Securing,short-text,Antiphonal,Antiphonal,1,audio/TT135.mp3,Texture feature,Which texture feature is suggested by musical material passing between separated groups?,Antiphonal writing.,
TT136,edit,Securing,multiple-choice,Antiphonal,Antiphonal,1,audio/TT136.mp3,Texture feature,Identify the texture feature.,They answer or contrast with one another antiphonally.,Remove polyphonic as an MC and replace with Canon
TT139,edit,Foundation,multiple-choice,Drone,Drone,1,audio/TT139.mp3,Texture feature,Which textural device is heard beneath the melodic improvisation?,A drone.,Change question: Which textural device is heard beneath the melodic improvisation?
TT140,edit,Developing,multiple-choice,Pedal,Pedal,1,audio/TT140.mp3,Pedal / drone,Which textural device is used in this extract?,Pedal / drone: a sustained supporting note is heard below the tune.,"Change the question: Which textural device is used in this extract? In MC answers, change 'Monophonic' to 'Pedal'"
